SITE,DATE_LOCAL,avg_temp
ABUR,2002-08-21,13.75
ABUR,2002-08-22,14.290694444444444
ABUR,2002-08-23,14.780555555555555
ABUR,2002-08-24,14.963888888888889
ABUR,2002-08-25,14.68388888888889
ABUR,2002-08-26,15.397222222222222
ABUR,2002-08-27,15.305902777777778
ABUR,2002-08-28,15.166805555555555
ABUR,2002-08-29,14.718402777777778
ABUR,2002-08-30,14.56
ABUR,2002-08-31,14.342708333333333
ABUR,2002-09-01,14.276458333333334
ABUR,2002-09-02,14.375208333333333
ABUR,2002-09-03,15.109861111111112
ABUR,2002-09-04,16.273958333333333
ABUR,2002-09-05,16.23923611111111
ABUR,2002-09-06,15.09875
ABUR,2002-09-07,15.213541666666666
ABUR,2002-09-08,15.154027777777777
ABUR,2002-09-09,14.479583333333334
ABUR,2002-09-10,14.675347222222223
ABUR,2002-09-11,14.368541666666667
ABUR,2002-09-12,14.428541666666666
ABUR,2002-09-13,14.695972222222222
ABUR,2002-09-14,13.705625
ABUR,2002-09-15,13.507083333333332
ABUR,2002-09-16,14.166944444444445
ABUR,2002-09-17,14.471597222222222
ABUR,2002-09-18,14.406319444444444
ABUR,2002-09-19,13.748541666666666
ABUR,2002-09-20,14.280555555555555
ABUR,2002-09-21,14.257569444444444
ABUR,2002-09-22,13.774375
ABUR,2002-09-23,13.582777777777778
ABUR,2002-09-24,13.918472222222222
ABUR,2002-09-25,14.659513888888888
ABUR,2002-09-26,15.007916666666667
ABUR,2002-09-27,14.774652777777778
ABUR,2002-09-28,15.093125
ABUR,2002-09-29,15.323263888888889
ABUR,2002-09-30,15.284444444444444
ABUR,2002-10-01,15.258125
ABUR,2002-10-02,15.317638888888888
ABUR,2002-10-03,15.121527777777779
ABUR,2002-10-04,15.385694444444445
ABUR,2002-10-05,15.120555555555555
ABUR,2002-10-06,14.871666666666666
ABUR,2002-10-07,15.331666666666667
ABUR,2002-10-08,15.696458333333334
ABUR,2002-10-09,15.846041666666666
ABUR,2002-10-10,15.005069444444445
ABUR,2002-10-11,15.008611111111112
ABUR,2002-10-12,15.097222222222221
ABUR,2002-10-13,14.986180555555556
ABUR,2002-10-14,15.075902777777777
ABUR,2002-10-15,15.717083333333333
ABUR,2002-10-16,15.034930555555556
ABUR,2002-10-17,14.892708333333333
ABUR,2002-10-18,15.262986111111111
ABUR,2002-10-19,15.700138888888889
ABUR,2002-10-20,15.85763888888889
ABUR,2002-10-21,15.680277777777778
ABUR,2002-10-22,16.07701388888889
ABUR,2002-10-23,16.15222222222222
ABUR,2002-10-24,15.656875
ABUR,2002-10-25,15.124375
ABUR,2002-10-26,15.306180555555555
ABUR,2002-10-27,15.614420289855072
ABUR,2002-10-28,15.541944444444445
ABUR,2002-10-29,15.894097222222223
ABUR,2002-10-30,15.289722222222222
ABUR,2002-10-31,15.546041666666666
ABUR,2002-11-01,15.345902777777777
ABUR,2002-11-02,15.477777777777778
ABUR,2002-11-03,15.136944444444444
ABUR,2002-11-04,15.433055555555555
ABUR,2002-11-05,15.605833333333333
ABUR,2002-11-06,15.538680555555555
ABUR,2002-11-07,15.459999999999999
ABUR,2002-11-08,15.745763888888888
ABUR,2002-11-09,15.503472222222221
ABUR,2002-11-10,15.174027777777777
ABUR,2002-11-11,14.370138888888889
ABUR,2002-11-12,14.406875
ABUR,2002-11-13,15.365763888888889
ABUR,2002-11-14,15.119097222222223
ABUR,2002-11-15,14.94763888888889
ABUR,2002-11-16,14.654652777777779
ABUR,2002-11-17,15.277291666666667
ABUR,2002-11-18,14.856041666666666
ABUR,2002-11-19,14.728680555555556
ABUR,2002-11-20,14.923472222222223
ABUR,2002-11-21,14.777361111111112
ABUR,2002-11-22,14.9975
ABUR,2002-11-23,15.524097222222222
ABUR,2002-11-24,15.459236111111112
ABUR,2002-11-25,15.454166666666666
ABUR,2002-11-26,15.551805555555555
ABUR,2002-11-27,15.320972222222222
ABUR,2002-11-28,15.294444444444444
ABUR,2002-11-29,15.453541666666666
ABUR,2002-11-30,15.614097222222222
ABUR,2002-12-01,15.89111111111111
ABUR,2002-12-02,15.763333333333334
ABUR,2002-12-03,15.69951388888889
ABUR,2002-12-04,15.73611111111111
ABUR,2002-12-05,15.728125
ABUR,2002-12-06,15.678611111111111
ABUR,2002-12-07,15.870555555555555
ABUR,2002-12-08,15.738194444444444
ABUR,2002-12-09,15.4175
ABUR,2002-12-10,15.256180555555556
ABUR,2002-12-11,15.236736111111112
ABUR,2002-12-12,15.367708333333333
ABUR,2002-12-13,15.535763888888889
ABUR,2002-12-14,15.56423611111111
ABUR,2002-12-15,15.575555555555555
ABUR,2002-12-16,15.579583333333334
ABUR,2002-12-17,15.537638888888889
ABUR,2002-12-18,14.404305555555556
ABUR,2002-12-19,13.537083333333333
ABUR,2002-12-20,13.686458333333333
ABUR,2002-12-21,13.749722222222221
ABUR,2002-12-22,13.79513888888889
ABUR,2002-12-23,13.746041666666667
ABUR,2002-12-24,13.931944444444444
ABUR,2002-12-25,14.522916666666667
ABUR,2002-12-26,14.766736111111111
ABUR,2002-12-27,14.807916666666667
ABUR,2002-12-28,14.772430555555555
ABUR,2002-12-29,14.404583333333333
ABUR,2002-12-30,14.278680555555555
ABUR,2002-12-31,14.623888888888889
ABUR,2003-01-01,14.528333333333334
ABUR,2003-01-02,14.506597222222222
ABUR,2003-01-03,14.489166666666668
ABUR,2003-01-04,14.546527777777778
ABUR,2003-01-05,14.653819444444444
ABUR,2003-01-06,14.623472222222222
ABUR,2003-01-07,14.610625
ABUR,2003-01-08,14.65
