SITE,year,month,monthly_mean
ABUR,2017,Mar,13.76
ABUR,2017,Apr,12.873
ABUR,2017,May,13.357
ABUR,2017,Jun,15.055
ABUR,2017,Jul,16.321
ABUR,2017,Aug,17.089
ABUR,2017,Sep,16.989
ABUR,2017,Oct,17.6
ABUR,2017,Nov,16.323
ABUR,2017,Dec,15.441
ABUR,2018,Jan,15.201
ABUR,2018,Feb,14.159
ABUR,2018,Mar,12.955
ABUR,2018,Apr,12.4
ABUR,2018,May,13.074
ABUR,2018,Jun,15.633
ABUR,2018,Jul,16.97
ABUR,2018,Aug,18.902
ABUR,2018,Sep,17.932
ABUR,2018,Oct,18.027
ABUR,2018,Nov,18.123
ABUR,2018,Dec,15.619
ABUR,2019,Jan,14.953
ABUR,2019,Feb,13.856
ABUR,2019,Mar,13.244
ABUR,2019,Apr,13.23
ABUR,2019,May,12.948
ABUR,2019,Jun,14.832
ABUR,2019,Jul,15.733
ABUR,2019,Aug,16.326
ABUR,2019,Sep,17.371
ABUR,2019,Oct,17.143
ABUR,2019,Nov,16.831
ABUR,2019,Dec,15.359
ABUR,2020,Jan,15.161
ABUR,2020,Feb,14.898
ABUR,2020,Mar,14.808
ABUR,2020,Apr,14.058
ABUR,2020,May,13.733
ABUR,2020,Jun,14.961
ABUR,2020,Jul,14.905
ABUR,2020,Aug,15.689
ABUR,2020,Sep,16.563
ABUR,2020,Oct,18.114
ABUR,2020,Nov,14.555
ABUR,2020,Dec,14.199
ABUR,2021,Jan,13.72
ABUR,2021,Feb,12.846
ABUR,2021,Mar,12.074
ABUR,2021,Apr,12.714
ABUR,2021,May,14.152
ABUR,2021,Jun,15.314
ABUR,2021,Jul,16.629
AHND,2002,Sep,15.311
AHND,2002,Oct,15.442
AHND,2002,Nov,15.07
AHND,2002,Dec,14.785
AHND,2003,Jan,14.811
AHND,2003,Feb,14.684
AHND,2003,Mar,12.81
AHND,2003,Apr,11.011
AHND,2003,Aug,15.239
AHND,2003,Sep,16.45
AHND,2003,Oct,16.802
AHND,2003,Nov,15.732
AHND,2003,Dec,14.097
